Node_ID	Mode	EigenVector_UZ
35954	17	-0.000206906670658047
35954	20	7.88503559375297E-05
35956	10	-0.000237475829480288
35956	12	0.000147916767193
35956	14	-9.91206899961564E-05
35956	17	0.000254636537541583
35956	20	4.07608437993526E-05
35959	10	-0.000253439255791218
35959	12	0.000119252701083802
35959	14	-0.000153062405632036
35959	17	0.000238221996431609
35959	20	0.000112831675235288
35964	10	-0.000278216585883111
35964	12	9.39174732366064E-05
35964	14	-0.000203182741417064
35964	17	0.000206985285325091
35964	20	0.000185769834599259
35968	10	-0.000302216193229917
35968	12	6.7273976455355E-05
35968	14	-0.000243321368320341
35968	17	0.000156512307487748
35968	20	0.000246767795317667
35972	10	-0.000318867424268397
35972	12	3.78397093150609E-05
35972	14	-0.000269072908332195
35972	17	8.9388798752186E-05
35972	20	0.000286960560058942
35976	10	-0.000324146513094631
35976	12	6.22049151755925E-06
35976	14	-0.000277402410145431
